DBN,name,Num of SAT Test Takers,reading,math,writing
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,405,375,370
31R470,CONCORD HIGH SCHOOL,10,466,455,414
21K728,LIBERATION DIPLOMA PLUS,10,411,369,373
10X667,GRACE DODGE YABC,10,350,356,317
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588
27Q400,AUGUST MARTIN HIGH SCHOOL,101,377,371,360
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102,365,361,359
02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,400,417,389
31R080,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466
10X475,JOHN F. KENNEDY HIGH SCHOOL,109,351,362,339
23K643,BROOKLYN DEMOCRACY ACADEMY,11,349,338,331
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111,473,506,467
10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111,390,408,383
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316
14K561,WILLIAMSBURG PREPARATORY SCHOOL,113,397,410,380
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113,438,455,440
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,384,394,388
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114,363,368,364
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,435
14K632,FRANCES PERKINS ACADEMY,12,382,372,368
03M404,INNOVATION DIPLOMA PLUS,12,416,403,381
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,121,367,361,353
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,596
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121,345,517,343
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277,587,659,587
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13,398,391,394
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,400
22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,440
16K455,BOYS AND GIRLS HIGH SCHOOL,131,365,370,362
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,131,370,390,358
14K477,SCHOOL FOR LEGAL STUDIES,134,413,396,395
30Q575,ACADEMY OF AMERICAN STUDIES,135,487,492,491
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,450
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,403,380
02M544,INDEPENDENCE HIGH SCHOOL,14,389,371,335
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14,380,372,349
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141,426,421,411
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,398,421,396
30Q555,NEWCOMERS HIGH SCHOOL,143,323,475,329
02M418,MILLENNIUM HIGH SCHOOL,144,528,553,533
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144,364,379,371
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,398
02M460,WASHINGTON IRVING HIGH SCHOOL,151,373,387,360
02M620,NORMAN THOMAS HIGH SCHOOL,154,370,379,359
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,550
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525
12X480,BRONX REGIONAL HIGH SCHOOL,16,398,385,398
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,16,372,356,335
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16,366,400,368
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,479
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442
25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,382,388
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332
18K578,BROOKLYN BRIDGE ACADEMY,17,384,362,351
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,496,494
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420
20K658,FRANKLIN DELANO ROOSEVELT YABC,18,338,477,316
01M650,CASCADES HIGH SCHOOL,18,417,418,411
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,380
13K670,BENJAMIN BANNEKER ACADEMY,185,471,472,448
11X455,HARRY S TRUMAN HIGH SCHOOL,189,386,397,368
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191,395,382,376
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425
05M469,CHOIR ACADEMY OF HARLEM,20,354,360,385
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,355,355,358
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20,441,499,413
05M499,FREDERICK DOUGLASS ACADEMY,214,458,474,442
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,636
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228,430,456,423
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,358,350
22K495,SHEEPSHEAD BAY HIGH SCHOOL,236,383,392,370
