participants,female,male,us_citizen
44,0.5,0.5,0.95
35,0.54,0.46,0.94
1,1,0,1
2,1,0,0.5
6,0.33,0.67,1
1,0,1,1
2,0,1,1
3,0.67,0.33,1
8,0.13,0.88,1
17,0.71,0.29,1
3,0.67,0.33,0.67
1,1,0,1
7,0.71,0.29,1
4,1,0,1
27,0.63,0.37,0.89
7,0.57,0.43,0.86
20,0.65,0.35,1
13,0.31,0.69,0.92
2,1,0,1
16,0.69,0.31,0.94
5,0.8,0.2,1
1,0,1,1
41,0.51,0.49,0.93
17,0.71,0.29,1
14,0.5,0.5,0.86
18,0.44,0.56,0.94
27,0.63,0.37,0.93
5,0.6,0.4,1
52,0.48,0.52,0.92
7,0.71,0.29,0.71
27,0.74,0.26,0.93
49,0.53,0.47,0.98
3,0.67,0.33,0.67
59,0.56,0.44,0.92
15,0.47,0.53,1
21,0.81,0.19,0.95
65,0.6,0.4,0.95
106,0.61,0.39,0.89
81,0.57,0.43,0.98
10,0.7,0.3,0.8
43,0.56,0.44,0.95
20,0.6,0.4,0.9
1,0,1,1
11,0.55,0.45,1
15,0.8,0.2,0.93
37,0.46,0.54,0.97
5,1,0,1
13,0.23,0.77,1
36,0.33,0.67,1
34,0.91,0.09,1
10,0.8,0.2,0.9
38,0.45,0.55,0.97
10,0.7,0.3,1
111,0.87,0.13,0.92
214,0.85,0.15,0.99
8,0.13,0.88,1
109,0.49,0.51,0.94
93,0.57,0.43,0.92
52,1,0,1
10,0.7,0.3,1
52,0.62,0.38,0.94
248,0.78,0.22,0.99
14,0.43,0.57,1
59,0.49,0.51,0.98
50,0.34,0.66,0.96
7,0.43,0.57,0.71
2,0.5,0.5,0
5,0.8,0.2,0.8
2,0.5,0.5,1
3,1,0,1
2,0,1,1
5,0.4,0.6,1
11,0.55,0.45,0.91
4,0.5,0.5,1
1,0,1,1
2,0.5,0.5,1
2,0,1,0.5
2,1,0,1
4,0.25,0.75,0.75
28,0.21,0.79,0.96
37,0.32,0.68,1
5,0.6,0.4,1
21,0.05,0.95,1
124,0.6,0.4,1
55,0.09,0.91,1
44,1,0,1
52,0.04,0.96,0.98
87,0.56,0.44,1
13,0.46,0.54,1
252,0.67,0.33,1
35,0.97,0.03,0.94
37,0.97,0.03,1
7,0.29,0.71,1
134,0.48,0.52,0.99
82,0.61,0.39,1
11,0,1,1
11,1,0,1
64,0.95,0.05,1
63,0.02,0.98,1
242,0.76,0.24,1
201,0.33,0.67,0.98
4,0.75,0.25,1
83,0.47,0.53,1
272,0.42,0.58,1
17,0.12,0.88,1
